bend, twist, total
176150.328125, 164504.734375, 170327.53125
174436.703125, 165145.609375, 169791.15625
170687.984375, 164653.28125, 167670.625
169352.453125, 164411.953125, 166882.203125
168824.5625, 164422.125, 166623.34375
167481.796875, 164318.390625, 165900.09375
167200.453125, 164288.734375, 165744.59375
167355.0625, 164245.0, 165800.03125
167006.171875, 164164.359375, 165585.265625
166651.171875, 164150.59375, 165400.875
166389.65625, 164189.984375, 165289.8125
166392.953125, 164182.90625, 165287.9375
165974.578125, 164213.484375, 165094.03125
166006.140625, 164241.734375, 165123.9375
165485.75, 164245.953125, 164865.84375
165483.453125, 164233.28125, 164858.375
165086.296875, 164286.4375, 164686.375
165284.125, 164230.75, 164757.4375
165027.046875, 164217.46875, 164622.25
165045.234375, 164221.0, 164633.125
164848.046875, 164240.546875, 164544.296875
164882.796875, 164252.734375, 164567.765625
164774.234375, 164269.6875, 164521.96875
164827.3125, 164311.0, 164569.15625
164864.1875, 164320.421875, 164592.3125
164829.21875, 164374.375, 164601.796875
164869.25, 164412.09375, 164640.671875
164826.59375, 164454.84375, 164640.71875
164859.453125, 164420.609375, 164640.03125
164784.28125, 164430.359375, 164607.3125
164894.84375, 164418.453125, 164656.65625
164825.859375, 164338.984375, 164582.421875
164730.71875, 164325.515625, 164528.125
164736.765625, 164279.3125, 164508.03125
164671.359375, 164296.453125, 164483.90625
164733.515625, 164271.875, 164502.6875
164677.890625, 164264.875, 164471.375
164711.46875, 164242.53125, 164477.0
164683.59375, 164240.015625, 164461.8125
164751.15625, 164211.65625, 164481.40625
164918.5625, 164219.171875, 164568.875
164927.109375, 164225.703125, 164576.40625
165108.71875, 164223.953125, 164666.34375
164778.640625, 164221.9375, 164500.28125
165045.40625, 164246.53125, 164645.96875
164878.90625, 164215.109375, 164547.0
165244.84375, 164251.265625, 164748.0625
164817.203125, 164206.90625, 164512.0625
164943.15625, 164203.796875, 164573.46875
