bend, twist, total
176150.3125, 164504.734375, 170327.53125
174436.578125, 165145.609375, 169791.09375
170682.671875, 164658.03125, 167670.34375
169360.015625, 164402.15625, 166881.09375
168160.8125, 164415.5, 166288.15625
167192.203125, 164312.3125, 165752.25
166556.03125, 164253.59375, 165404.8125
166733.609375, 164270.53125, 165502.0625
166254.515625, 164209.5, 165232.0
166633.375, 164240.59375, 165436.984375
165979.5, 164271.65625, 165125.578125
166095.65625, 164233.796875, 165164.71875
165944.09375, 164246.0, 165095.046875
166051.75, 164258.109375, 165154.9375
165478.5, 164279.03125, 164878.765625
165308.359375, 164270.109375, 164789.234375
165046.109375, 164261.15625, 164653.625
165207.84375, 164258.609375, 164733.21875
164863.0, 164254.671875, 164558.84375
165070.90625, 164226.421875, 164648.65625
164850.078125, 164197.359375, 164523.71875
164986.53125, 164209.640625, 164598.09375
164831.0625, 164210.5625, 164520.8125
164861.8125, 164206.484375, 164534.15625
164842.5625, 164211.28125, 164526.921875
164807.171875, 164253.84375, 164530.5
164787.953125, 164262.890625, 164525.421875
164769.140625, 164324.234375, 164546.6875
164793.40625, 164317.453125, 164555.4375
164746.15625, 164364.359375, 164555.25
165121.078125, 164421.78125, 164771.4375
165121.65625, 164461.640625, 164791.65625
165288.703125, 164410.09375, 164849.40625
164758.859375, 164396.46875, 164577.65625
164867.421875, 164388.328125, 164627.875
164704.765625, 164429.8125, 164567.28125
164860.546875, 164397.078125, 164628.8125
164699.859375, 164389.015625, 164544.4375
164747.984375, 164322.015625, 164535.0
164704.953125, 164367.09375, 164536.03125
164867.46875, 164336.203125, 164601.84375
164674.484375, 164334.578125, 164504.53125
164755.0, 164365.75, 164560.375
164753.65625, 164329.59375, 164541.625
164838.953125, 164319.65625, 164579.3125
164945.75, 164326.59375, 164636.171875
165053.59375, 164310.390625, 164682.0
164886.75, 164332.796875, 164609.78125
164999.09375, 164291.484375, 164645.28125
