bend, twist, total
176150.34375, 164504.734375, 170327.53125
174436.265625, 165145.53125, 169790.90625
170707.078125, 164656.359375, 167681.71875
169488.484375, 164396.0625, 166942.28125
167818.453125, 164420.484375, 166119.46875
167194.484375, 164330.140625, 165762.3125
166477.84375, 164286.59375, 165382.21875
166832.640625, 164248.015625, 165540.328125
166657.640625, 164216.5, 165437.0625
167017.953125, 164256.625, 165637.28125
166637.078125, 164247.0, 165442.03125
166893.140625, 164213.375, 165553.25
166362.875, 164178.078125, 165270.46875
166437.296875, 164221.0625, 165329.1875
165982.90625, 164236.609375, 165109.75
166095.390625, 164223.40625, 165159.40625
165629.625, 164251.453125, 164940.53125
165755.71875, 164235.890625, 164995.8125
165336.3125, 164237.6875, 164787.0
165420.859375, 164241.515625, 164831.1875
165051.015625, 164247.09375, 164649.0625
165197.71875, 164281.546875, 164739.625
164977.640625, 164306.796875, 164642.21875
165165.90625, 164276.578125, 164721.25
164960.703125, 164306.390625, 164633.546875
165074.953125, 164283.765625, 164679.359375
164907.6875, 164295.671875, 164601.6875
164972.6875, 164281.140625, 164626.90625
164840.03125, 164301.25, 164570.640625
164835.6875, 164284.734375, 164560.21875
164846.890625, 164269.171875, 164558.03125
164871.09375, 164266.015625, 164568.5625
164876.6875, 164311.421875, 164594.0625
164812.09375, 164294.4375, 164553.265625
164865.078125, 164315.390625, 164590.234375
164819.015625, 164298.9375, 164558.96875
164839.75, 164290.0, 164564.875
164844.390625, 164285.484375, 164564.9375
164714.765625, 164283.171875, 164498.96875
164886.0625, 164259.8125, 164572.9375
164727.25, 164285.859375, 164506.5625
164812.859375, 164270.671875, 164541.765625
164712.5, 164232.421875, 164472.46875
164812.484375, 164230.28125, 164521.375
164771.203125, 164197.78125, 164484.5
164991.421875, 164182.453125, 164586.9375
164699.765625, 164206.546875, 164453.15625
165140.15625, 164209.90625, 164675.03125
164712.390625, 164232.953125, 164472.671875
