bend, twist, total
176150.34375, 164504.734375, 170327.53125
174429.75, 165145.0, 169787.375
170699.46875, 164659.625, 167679.546875
169357.234375, 164402.203125, 166879.71875
168319.875, 164425.34375, 166372.609375
167217.640625, 164326.015625, 165771.828125
166558.765625, 164289.921875, 165424.34375
166960.6875, 164280.515625, 165620.59375
166322.578125, 164199.015625, 165260.796875
166887.9375, 164219.703125, 165553.8125
166534.8125, 164247.328125, 165391.0625
166836.515625, 164235.40625, 165535.96875
166480.015625, 164205.734375, 165342.875
166490.390625, 164238.53125, 165364.46875
166332.625, 164295.484375, 165314.0625
166387.46875, 164218.28125, 165302.875
165752.828125, 164215.828125, 164984.328125
165979.046875, 164225.734375, 165102.390625
165584.828125, 164234.578125, 164909.703125
165865.265625, 164239.875, 165052.5625
165498.921875, 164303.921875, 164901.421875
165630.265625, 164268.3125, 164949.28125
165351.046875, 164396.359375, 164873.703125
165432.921875, 164328.265625, 164880.59375
165198.078125, 164331.875, 164764.96875
165332.546875, 164309.5, 164821.03125
165126.484375, 164317.0625, 164721.78125
165345.5, 164273.828125, 164809.65625
165120.125, 164315.71875, 164717.921875
165299.0, 164211.71875, 164755.359375
165064.28125, 164381.234375, 164722.75
165163.0625, 164333.15625, 164748.109375
164998.65625, 164344.28125, 164671.46875
165131.15625, 164303.375, 164717.265625
164974.984375, 164327.34375, 164651.15625
165063.625, 164291.46875, 164677.546875
164905.328125, 164300.296875, 164602.8125
165027.34375, 164291.5, 164659.421875
164897.90625, 164299.0, 164598.453125
165036.984375, 164274.6875, 164655.84375
164894.59375, 164320.578125, 164607.59375
165011.453125, 164326.65625, 164669.0625
164879.703125, 164292.4375, 164586.0625
164965.625, 164267.734375, 164616.6875
164838.25, 164241.265625, 164539.75
164940.875, 164260.296875, 164600.59375
164839.15625, 164292.71875, 164565.9375
164857.640625, 164253.703125, 164555.671875
164848.921875, 164229.28125, 164539.09375
