bend, twist, total
176150.34375, 164504.734375, 170327.53125
174436.171875, 165145.546875, 169790.859375
170701.9375, 164655.6875, 167678.8125
169390.5, 164408.96875, 166899.734375
168853.1875, 164426.703125, 166639.9375
167613.234375, 164327.109375, 165970.171875
167258.21875, 164306.296875, 165782.25
167429.46875, 164266.90625, 165848.1875
166922.96875, 164169.46875, 165546.21875
167456.96875, 164157.09375, 165807.03125
167092.421875, 164211.03125, 165651.71875
167021.53125, 164215.734375, 165618.625
166702.3125, 164238.4375, 165470.375
166483.875, 164225.0625, 165354.46875
166225.03125, 164242.8125, 165233.921875
166094.6875, 164223.90625, 165159.296875
165161.09375, 164232.984375, 164697.03125
164915.296875, 164225.640625, 164570.46875
165388.1875, 164319.015625, 164853.59375
165438.296875, 164359.390625, 164898.84375
165139.859375, 164271.171875, 164705.515625
165358.46875, 164259.78125, 164809.125
165123.9375, 164291.1875, 164707.5625
165247.703125, 164332.484375, 164790.09375
165080.75, 164374.9375, 164727.84375
165166.71875, 164340.09375, 164753.40625
165040.875, 164356.703125, 164698.78125
165112.09375, 164314.34375, 164713.21875
165000.9375, 164360.515625, 164680.71875
165069.90625, 164359.03125, 164714.46875
164974.1875, 164381.09375, 164677.640625
165037.015625, 164368.21875, 164702.625
164958.1875, 164368.6875, 164663.4375
165015.953125, 164394.34375, 164705.15625
164988.234375, 164421.8125, 164705.03125
164960.78125, 164413.09375, 164686.9375
164977.421875, 164384.46875, 164680.9375
164847.890625, 164451.734375, 164649.8125
165031.65625, 164374.765625, 164703.21875
164980.65625, 164415.140625, 164697.90625
165017.125, 164329.921875, 164673.53125
164940.578125, 164345.703125, 164643.140625
164942.046875, 164332.328125, 164637.1875
164915.25, 164331.25, 164623.25
164913.65625, 164305.046875, 164609.34375
164920.421875, 164321.546875, 164620.984375
164983.6875, 164290.609375, 164637.15625
164921.390625, 164288.734375, 164605.0625
165042.25, 164280.828125, 164661.53125
