bend, twist, total
176150.34375, 164504.734375, 170327.53125
174436.796875, 165145.65625, 169791.21875
170689.578125, 164654.65625, 167672.125
169347.890625, 164409.296875, 166878.59375
168824.765625, 164420.640625, 166622.703125
167474.515625, 164318.6875, 165896.59375
167066.109375, 164285.28125, 165675.6875
167276.78125, 164264.171875, 165770.46875
166562.890625, 164191.96875, 165377.4375
166990.15625, 164174.203125, 165582.1875
166619.890625, 164255.765625, 165437.828125
167217.734375, 164232.1875, 165724.96875
166824.578125, 164203.28125, 165513.9375
166914.921875, 164219.25, 165567.09375
166315.140625, 164232.5625, 165273.84375
166318.234375, 164191.703125, 165254.96875
165818.828125, 164195.078125, 165006.953125
166126.828125, 164218.484375, 165172.65625
165560.796875, 164241.671875, 164901.234375
165799.40625, 164247.34375, 165023.375
165359.0, 164275.421875, 164817.21875
165416.71875, 164316.234375, 164866.46875
165065.875, 164332.921875, 164699.40625
165234.75, 164295.75, 164765.25
165113.65625, 164354.25, 164733.953125
165328.453125, 164327.453125, 164827.953125
165103.265625, 164326.859375, 164715.0625
165305.375, 164301.484375, 164803.4375
164994.609375, 164343.1875, 164668.90625
165081.359375, 164366.734375, 164724.046875
164888.546875, 164366.5, 164627.53125
165006.65625, 164331.25, 164668.953125
164835.859375, 164370.828125, 164603.34375
164978.84375, 164273.28125, 164626.0625
164804.546875, 164372.84375, 164588.6875
164955.171875, 164294.421875, 164624.796875
164723.546875, 164343.578125, 164533.5625
164992.8125, 164312.578125, 164652.6875
164789.984375, 164326.3125, 164558.15625
165023.3125, 164291.171875, 164657.25
164973.640625, 164294.421875, 164634.03125
165120.4375, 164273.890625, 164697.15625
164933.828125, 164291.96875, 164612.90625
165075.59375, 164279.515625, 164677.5625
164928.484375, 164296.234375, 164612.359375
165060.203125, 164290.75, 164675.46875
164860.21875, 164286.390625, 164573.3125
165075.5, 164265.859375, 164670.6875
164899.375, 164339.46875, 164619.421875
