bend, twist, total
176150.328125, 164504.734375, 170327.53125
174436.78125, 165145.640625, 169791.21875
170688.609375, 164654.15625, 167671.375
169343.40625, 164415.359375, 166879.375
168784.765625, 164418.140625, 166601.453125
167692.609375, 164315.59375, 166004.09375
166716.484375, 164277.703125, 165497.09375
167054.09375, 164255.65625, 165654.875
166538.46875, 164205.8125, 165372.140625
166884.640625, 164214.8125, 165549.71875
166570.359375, 164245.578125, 165407.96875
166671.6875, 164240.5, 165456.09375
166529.828125, 164236.453125, 165383.140625
166260.40625, 164276.515625, 165268.46875
165969.140625, 164301.453125, 165135.296875
166142.265625, 164289.03125, 165215.65625
165558.03125, 164259.796875, 164908.90625
165816.21875, 164285.09375, 165050.65625
165369.078125, 164327.75, 164848.40625
165617.65625, 164309.921875, 164963.78125
165159.25, 164317.53125, 164738.390625
165450.390625, 164361.0625, 164905.71875
165014.484375, 164380.859375, 164697.671875
165351.453125, 164387.015625, 164869.234375
165068.1875, 164366.0, 164717.09375
165320.296875, 164336.21875, 164828.25
165044.90625, 164381.40625, 164713.15625
165420.875, 164353.5625, 164887.21875
165156.1875, 164330.921875, 164743.5625
165499.234375, 164330.5625, 164914.90625
165209.75, 164371.578125, 164790.65625
165541.03125, 164283.875, 164912.453125
165288.96875, 164380.296875, 164834.625
165609.640625, 164347.3125, 164978.46875
165273.875, 164324.03125, 164798.953125
165510.15625, 164332.15625, 164921.15625
165241.546875, 164321.8125, 164781.6875
165404.0625, 164339.703125, 164871.875
165230.0625, 164385.328125, 164807.6875
165371.890625, 164332.03125, 164851.96875
165221.171875, 164357.1875, 164789.1875
165377.390625, 164325.421875, 164851.40625
165127.328125, 164288.578125, 164707.953125
165264.859375, 164283.640625, 164774.25
165084.71875, 164313.265625, 164699.0
165211.828125, 164297.046875, 164754.4375
165009.765625, 164315.84375, 164662.8125
165129.453125, 164317.21875, 164723.34375
164968.125, 164382.828125, 164675.46875
