bend, twist, total
176150.34375, 164504.734375, 170327.53125
174429.265625, 165145.1875, 169787.21875
170704.953125, 164657.21875, 167681.09375
169359.078125, 164400.71875, 166879.90625
168537.15625, 164424.0, 166480.578125
167364.578125, 164301.640625, 165833.109375
166642.0, 164283.703125, 165462.84375
166907.203125, 164273.546875, 165590.375
166661.40625, 164190.84375, 165426.125
166934.65625, 164224.125, 165579.390625
167151.234375, 164248.71875, 165699.96875
167109.828125, 164227.828125, 165668.828125
166805.34375, 164229.046875, 165517.1875
166838.578125, 164249.078125, 165543.828125
166639.1875, 164250.65625, 165444.921875
166604.875, 164213.84375, 165409.359375
165971.59375, 164210.21875, 165090.90625
166467.21875, 164188.71875, 165327.96875
165997.1875, 164200.515625, 165098.84375
166222.96875, 164198.1875, 165210.578125
165811.640625, 164254.265625, 165032.953125
166047.09375, 164262.515625, 165154.8125
165709.421875, 164305.53125, 165007.46875
165845.125, 164304.765625, 165074.9375
165521.625, 164343.28125, 164932.453125
165702.71875, 164350.421875, 165026.5625
165368.390625, 164335.71875, 164852.0625
165569.359375, 164355.109375, 164962.234375
165316.078125, 164342.09375, 164829.09375
165537.40625, 164313.765625, 164925.59375
165342.515625, 164296.0, 164819.25
165591.0, 164307.796875, 164949.40625
165339.28125, 164344.671875, 164841.96875
165532.1875, 164355.5625, 164943.875
165286.59375, 164317.453125, 164802.03125
165498.453125, 164307.484375, 164902.96875
165251.0625, 164363.59375, 164807.328125
165472.75, 164361.46875, 164917.109375
165208.65625, 164399.609375, 164804.125
165426.09375, 164344.0, 164885.046875
165151.453125, 164341.890625, 164746.671875
165381.421875, 164270.140625, 164825.78125
165042.703125, 164380.6875, 164711.6875
165223.09375, 164355.359375, 164789.21875
164960.265625, 164385.265625, 164672.765625
165102.140625, 164326.8125, 164714.46875
164868.75, 164390.3125, 164629.53125
165080.125, 164366.234375, 164723.1875
164877.03125, 164355.015625, 164616.03125
